document	label
일단 출석 점수는 점수에는 안들어간다고 하심 그러나 교수님한테 찍히는거 같고 고등학교때 화학 수업으로 전혀 들어본적이 없어서 굉장히 어려웠음 그냥 시작하자마자 심화과정임 질문 많이 하고 수업도 매번 잘 참여하는등 열심히 했는데 화학을 제대로 공부한적이 없어서 결국 b나왔음 기출문제 올려주시는데 그거 무리없이 풀면 a나올거임 난 결국 기출 이해못한것도 있었음 도중에 탈주하는사람 많음	20122
맨날빠지고 자다가 정신차리고 마지막몇주 열심히들어서 시험 3개합 300점만점에 100점대 초반맞고 B맞음 애들 공부 드럽게안함	01000
그냥 수업시간에만 듣고 문제만 풀줄알면 무난하게 a나온다.대신 한 번 빠지면 큰일남.	01222
안응호 교수 수업 듣고 자퇴 사유 찍는다 진짜로 ......에휴	22222
 화학 안배워도 수업만 잘 따라가고 문제만 풀줄알면  에이 그냥 나옴	21222
매 주마다 쪽지 시험, 다만 공부하라고 주신 문제 그대로 나오기 때문에 공부만 하면 얼마든지 점수 받을 수 있다. 시험 문제도 숙제에서, 그리고 프린트 기준으로만 나오기에 공부 할 분량이 확실하고, 무엇보다 교수님이 열정이 넘치신다	20221
할 것도 많다. 일주에 한 번 퀴즈를 본다. 하지만 그럼에도 이 교수님의 평이 좋은 것은 강의력이 정말 대단하시고 열정이 높기 때문이다. 배워가는게 가장 많은 수업이었으며, 이런 교수님이 많아져야한다는 생각이든다. (근데 퀴즈는 좀 줄여주셨으면...)	20221
시험 3번, 퀴즈 10번이라 정신없는 학기를 만들어줌.대신 교수님이 꼼꼼하시고 친절하셔서 모르거나 이해안되는 건 질문하면 됨. 내용은 좀 어려운 편. 첫 번째 시험까지는 누구나 자기 힘으로 할 수 있다쳐도, 2번째 ? 3번째 시험은 혼자 공부하기 어려울 수 있음. 다행히 과 내에서 튜터링이 있는 과목이므로 튜터링을 같이 듣는 걸 추천. 이 수업을 위한 필수 요건이라면 체력.	20221
최고의 교수님.. 짱친절하시고 강의력 오짐.. 시험문제는 교수님 모여서 내시는거라 어렵지만 학점 꽤 잘나와요 사랑해요교수님	20221
수업은 자세하게 잘 가르쳐주시고 교재 예제 이외에 시험 기출문제도 가끔 풀어주십니다. 그이외도 제공하는 추가문제들이 좀 있어서 시험공부할때는 편함. 하지만 첫시간부터 수업하십니다.	22212
수업은 꽉채워서하시고 강의력 좋은신 교수님!!	22212
덕규찡한테는 구독과 좋아요가 필요합니다!수학에 재능 없는 친구들이 덕규쨩 수업 들으면 정말 A받기 쉬울거에요. 그리고 시험은 굉장히 쉽습니다! 공식만 보고 들어가도 a+받습니다.	21221
이 교수님이 아니었으면 지금의 학점 받지 못했을듯 집중이 알아서 되게 해주심	22211
드립은 교수중 최고인듯ㅋㅋ 너무 웃겨요 그리고 강의력까지 너무 좋아서 수학을 차근차근 배울수있어요 하지만 수업 첫날 시험 당일까지 모두 수업하심	22211
그저 갓... 갓덕규... 성적은 제가 못풀어서 할말은 없지만 교수님 드립은.. 개콘보다 웃겨요 꼭 추천	22221
내가 수학에 자신이 없다.아 졸업할 수 있을까 고민한다면 주저없이 최덕규 교수님입니다. 과제 없고 되게 친절하게 어떻게 해서든 점수 주려고 하시는 분입니다. 덕분에 한 학기 재미 없던 수학에 흥미 붙여서 좋았습니다. 이 분 수업이면 재미로라도 다른 과목 들어 보고 싶을 정도입니다	22211
그냥그랬다 대출 엄청 많고 걸렸는데도 별 상관 안 함 성적은 시험따라	22122
출석 직접 호명 하시긴 하지만 얼굴을 확인하시지 않아서 대출 정말 많고, 수업태도 불량으로 교수님께 찍히지만 않으면 될 거에요수업은 쉽게 잘 알려주시고, 말은 이거만 하고 끝낸다고 하시는데 시간 꽉꽉 채워서 합니다 빨리 끝나야 5분?성적은 시험 점수로 주시고, 그냥 수업 열심히 듣고 시험 공부하시면 될 거에요	22112
처음엔 이런 교수님스타일이 처음이라 부담스러울 수 있는데 정말 차근차근 잘알려주심. 수업시간만 집중해도 시험 잘 볼 수 있음. 재수강반은  본래 전공있는것 이해하시고 배려많이해주심	22212
교수님덕분에 수학에 자신감을 얻었습니다 감사해요!!	22221
진짜좋았음 무엇보다잘가르치시고 ㅠㅠ 학점은 수업시간내내잔 제잘못이지만 교수님좋았습니다!	22211
진짜 교수님 최고. 한명도 놓치지않으시고 다같이 이끌어가실려고 노력하시는 교수님임. 어려운 내용이더라도 교수님께서 설명하시면 정말 하나도 안어려움 진짜 최고셨음	22211
진짜좋으세요~친절하게잘설명해주시고질문도잘받아주시고..진짜모든학생들을끝까지잘공부할수있도록도와주시려고노력하시는분이에요!!	22221
고등학교 수학선생님처럼 친절하게 가르쳐주십니다 !수포자도 포기않게 잘 이끌어주세요	22211
최종선 교수님 과목들이 대부분 학점을 빡빡하게 주긴 하지만 그래도 도움은 많이 되었던거 같다.다만, 우리때가 아두이노 첫세대 라는 점이 힘들었다	22222
마음에 맞고 성실하고 게으름 안피우는 팀원을 만난다면 억겁과도 같은 고통으로부터 조금 멀어질 수 있습니다.  조가 잘못되면 좆됩니다. ‘성실하게’ 작품 완성을 목표로 하십시오	22222
사람따라 재밌을 수도 있다근데 힘들다밤샘 보는만큼 완성하면 A는 줌	21222
그저 갓... 과제는 총 9번 정도로 많았으나 배운내용으로 어렵지않게 할 수 있고 공부에 도움되라고 내주시는 과제이다. 시험은 중간고사는 어렵고 기말고사는 과제열심히 했으면 풀수있는 정도로 쉬워서 중간고사가 중요하다. 중간고사 준비할때 기본적인 내용외에 스스로 이것저것 찾아보고 교수님이 강의는 안했으나 이것도 공부해봐라 라거나 이런것도 있다 하는 것들을 봐둬야 잘 볼 수 있다. 그리고 강의력 정말 최고다. 이제 3학년 수업부터는 지웅님을 만날 수 없다는게 너무 슬프다...	22221
과제도 많다. 시험도 어렵다. 대답 안한다고 투덜거리신다. 그럼에도 이 교수님이 갓갓인 이유는 들어보면 된다. 소프트 전공 강의 중에 가장 만족스러운 교수님이 아닌가싶다.	00221
역시 갓갓갓 지웅.... 수업을 너무 열정적으로 ‘잘’하심 과제가 많고 시험이 쬐끔 어렵긴하지만  정말 좋은 교수님	00221
열심히 가르쳐주심. 학생이 모르면 제발 모른다고 말해달라고 사정하실정도.. 하지만 시험 난이도는 때때로 헬이니 주의하도록! 하지만 본인이 모르는건 남들도 모르니 성적은 예상한대로 나오는편! 수업방식도 좋고 교수님 마인드도 편안해서 듣기 좋았음	20211
교수님 너무 좋습니다 ㅠㅠ 과제는 ㅁ진짜 많고 귀찮긴 하지만 다 시험에 나오고 도움이 되는 과제들 ㅠㅠ.. 수업 중간중간 해주는 말도 재밌음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하지만 시험 개헬 진짜 헬 공부해도 못해도 못푸는 문제들.. 그래도 기말은 좀 쉽고 풀수있게 나옴!!!!! 교수님 쵝오	00221
최지웅 교수님이 좋은건 학기 중보다는 학기 다 마치고 혼자 공부할때임. 학기 중엔 좋은 의도로 한 학기동안 많은 양을 주입하기 위해  내용이 많아 지는 느낌이 있음. 그래서 실제로 진도를 많이 못나간 느낌(시험 공부하는데는 좋았다). 그래도 책의 후반부는 이론적인 내용이 대부분이라 주요 알고리즘은 다 나감.	22221
정말 얻어가는 것 많고 배우는 것 많은 과목이지만 시험이 너무 어려움ㅠ	20212
학생들의 이해도를 중시하는 수업을 진행하십니다.학생들이 이해가 안되었다고 느꼈을 경우 이해가 될 때까지 설명해주십니다.수업을 이해하고, 복습을 철저히 한다면 충분한 학점을 받을 수 있는 과목입니다.최지웅 교수님의 경우 가급적 학점 비율을 70% 모두 채워주시기 때문에 본인 학점이 C 가 나왔을 경우, 본인의 수업 성실도에 대해서 반성할 필요가 있습니다	21222
교수님 험담이랑 학생들 무시성 발언 자제해주셨으면농담이 도가 지나치심..중국인 학생들 너무 산만하고 맨날 번역기 돌리느라 수업 질 낮아짐계속 중국인학생들 통역시키고 재밌어하시는데 수업수준도 떨어지고 짜증남..호기심에 그러시는건지 자제를 못하시는듯 관심도 없는 중국인 학생들 네임드되서 다 외우게 생김과제없고 토론많은건 좋음	12200
시간대비 노력대비 학점 안 나옴 그냥 하는 소리 아니고 진짜 안 나옴 자기 과목 들으려면 전공 과목 드랍해야 한다는 소리를 아무렇지 않게 하는데 이게 결코 틀린 말이 아니에요 전공 과목 공부할 시간을 이 과목 때문에 매우 많이 뺏김 이 교양은 진짜 4학년 2학기 쯤 돼서 나태해진 나를 발견했을 때 신청하시길 바라요 그 때 들어도 드랍은 하고 싶어질테지만	20222
진짜 좋다는 사람들은 일부러 엿 먹일려고 쓴 글인듯 싶네요.교수님이 아시는게 많은 것은 좋으나 학생들에게 기회를 주는 척 권위 행사를 너무 하십니다. 또한 다른 학생들에게 학생들의  이야기를 험담마냥 말씀하시기도 하시고, 조별모임에 단한번이라도 빠지면 직접 전화로 시어머니 고나리 처럼 눈치만 주십니다. 저도 눈치보다가 다 참여하고 열심히 참여하였으나 쓸데 없는 가산점을 이리저리 주시며 결국에 재수강 학점입니다. 제발 믿고 거르세요. 들을게 없어도 들으시면 안되는 과목입니다	22220
전공보다 자기교양을 우선시하라는 마인드로 학생들 밤새 남기고 휴일이든 평일이든 전화까지해서 괴롭히는 말도안되는 수업입니다. 게다가 학점도 3학점이라 무시할수도없는데 학점은 짜게주는 그런 강의니깐 자기가 진리관 지박령이 되고싶거나 한학기 망치고 싶은사람은 들어도 좋은 과목입니다 그리고 밑에 싸이코패스처럼 이 강의 괜찮다고 하는 사람들 있는데 정말 시간 많이뺐겨서 괜찮지 않습니다 듣지마세요	20202
처음 3분스피치에서만 조금 힘들고 끝나면 과제도 a4한장 글써오기고 완전 편하게 학점 잘 챙겨갑니다	11222
